tuoi,chieu_cao,so_tran,ban_thang,kien_tao,so_phut_tren_ban,so_phut,danh_hieu,Centre_Forward,Central_Midfield,Left_Winger,Attacking_Midfield,Right_Winger,Defensive_Midfield,Second_Striker,Centre_Back,Right_Back,Left_Back ,Goalkeeper,Right_Midfield,Left_Midfield,value_club,value
24,1.78,41,40,9,85,3384,6,1,0,0,0,0,0,0,0,0,0,0,0,0,882.55,180
22,1.95,50,52,8,74,3860,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1050,170
19,1.86,42,14,7,254,3557,1,0,1,0,0,0,0,0,0,0,0,0,0,0,547.7,120
22,1.76,54,23,21,203,4669,6,0,0,1,0,0,0,0,0,0,0,0,0,0,860.8,120
20,1.84,46,15,16,201,3021,6,0,0,0,1,0,0,0,0,0,0,0,0,0,979.7,110
21,1.78,47,14,11,263,3684,2,0,0,0,0,1,0,0,0,0,0,0,0,0,890,110
22,1.71,44,14,8,175,2451,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,110
20,1.74,35,7,1,388,2715,3,0,1,0,0,0,0,0,0,0,0,0,0,0,767,100
24,1.86,37,28,5,103,2880,5,1,0,0,0,0,0,0,0,0,0,0,0,0,629,100
24,1.82,54,12,6,357,4286,6,0,1,0,0,0,0,0,0,0,0,0,0,0,860.8,100
18,1.73,46,2,6,1658,3316,2,0,1,1,0,0,0,0,0,0,0,0,0,0,767,90
23,1.88,47,0,4,0,2711,5,0,0,0,0,0,1,0,0,0,0,0,0,0,860.8,90
29,1.88,48,30,5,140,4212,3,1,0,0,0,0,0,0,0,0,0,0,0,0,680.3,90
22,1.78,49,4,9,1046,4183,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1020,85
20,1.76,24,4,8,432,1726,2,0,0,1,1,0,0,0,0,0,0,0,0,0,421.85,85
22,1.83,41,14,17,220,3083,5,0,0,0,0,0,0,0,0,0,0,0,0,0,629,85
22,1.74,54,16,11,224,3592,6,0,0,0,0,1,0,0,0,0,0,0,0,0,860.8,80
25,1.74,53,25,10,152,3800,6,1,0,0,0,0,0,0,0,0,0,0,0,0,534.45,80
24,1.88,48,5,4,794,3968,0,0,0,1,0,0,1,0,0,0,0,0,0,0,451.5,80
26,1.91,53,3,7,1403,4208,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1050,80
23,1.88,46,14,15,237,3316,6,0,0,0,0,0,0,0,0,0,0,0,0,0,547.25,80
25,1.78,34,20,7,128,2553,6,0,0,0,0,0,0,1,0,0,0,0,0,0,487.3,80
24,1.78,44,15,8,222,3329,5,0,0,0,1,0,0,0,0,0,0,0,0,0,890,80
25,1.85,53,29,11,141,4076,6,0,0,0,0,0,0,0,0,0,0,0,0,0,795.7,80
28,1.73,52,7,7,477,3340,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1050,80
28,1.77,46,7,11,566,3962,6,0,0,0,0,0,1,0,0,0,0,0,0,0,979.7,80
31,1.81,46,10,28,352,3517,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1050,80
26,1.8,20,5,3,265,1324,6,0,0,0,0,0,0,0,0,0,0,0,0,0,879,75
21,1.85,41,3,0,1002,3005,3,0,0,0,0,0,0,0,1,0,0,0,0,0,487.3,75
26,1.75,32,10,7,226,2258,6,1,0,0,0,0,0,0,0,0,0,0,0,0,890,75
23,1.9,42,14,4,210,2946,5,1,0,1,0,0,0,0,0,0,0,0,0,0,420.7,75
23,1.89,42,3,1,1100,3300,6,0,0,0,0,0,0,0,1,0,0,0,0,0,979.7,75
26,1.87,41,1,0,3288,3288,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1050,75
28,1.79,56,11,15,446,4905,6,0,0,1,1,0,0,0,0,0,0,0,0,0,795.7,75
21,1.78,46,15,6,229,3440,2,0,0,0,0,0,0,0,0,0,0,0,0,0,890,70
23,1.72,46,10,5,334,3342,5,0,0,0,0,1,0,0,0,0,0,0,0,0,795.7,70
23,1.87,42,15,4,158,2365,5,1,0,0,0,0,0,0,0,0,0,0,0,0,879,70
24,1.88,31,1,2,2602,2602,3,0,0,0,0,0,0,0,1,0,0,0,0,0,767,70
23,1.8,24,2,2,968,1936,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1020,70
22,1.85,38,3,8,950,2849,6,0,0,0,0,0,0,0,0,0,1,0,0,0,979.7,70
25,1.86,49,7,0,579,4051,6,0,0,0,0,0,0,0,1,0,0,0,0,0,860.8,70
24,1.81,38,5,5,548,2741,6,0,0,1,0,0,0,0,0,1,0,0,0,0,882.55,70
26,1.75,48,8,9,467,3733,6,0,1,0,0,0,0,0,0,0,0,0,0,0,534.45,70
27,1.8,48,5,11,662,3308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,70
27,1.83,43,14,9,191,2678,6,0,0,0,0,1,0,0,0,0,0,0,0,0,979.7,70
29,1.83,43,2,1,1817,3634,6,0,0,0,0,0,0,0,1,0,0,0,0,0,882.55,70
30,1.75,50,30,15,140,4211,6,0,0,0,0,1,0,0,0,0,0,0,0,0,879,70
31,1.75,29,18,17,131,2362,6,0,0,0,0,0,0,0,0,0,0,0,0,0,882.55,70
20,1.83,32,2,7,1099,2198,6,0,0,0,0,0,0,0,0,0,1,0,0,0,882.55,65
24,1.87,44,22,16,157,3454,1,1,0,0,0,0,0,0,0,0,0,0,0,0,294.45,65
22,1.86,20,2,0,815,1630,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1020,65
24,1.81,35,3,6,729,2188,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1020,65
24,1.8,46,4,9,922,3686,6,0,0,0,0,0,0,0,0,1,0,0,0,0,879,65
26,1.81,34,8,7,263,2102,6,0,0,0,0,0,0,0,0,0,0,0,0,0,979.7,65
28,1.89,39,6,6,423,2540,6,0,1,1,0,0,0,0,0,0,0,0,0,0,979.7,65
20,1.82,56,0,2,0,3394,6,0,1,0,0,0,0,0,0,0,0,0,0,0,860.8,60
22,1.75,34,10,10,212,2117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,60
23,1.75,38,24,4,135,3240,3,1,0,1,0,0,0,0,0,0,0,0,0,0,220.9,60
25,1.82,39,5,5,626,3132,3,0,0,0,0,0,1,0,0,0,0,0,0,0,494.3,60
24,1.93,49,19,20,199,3786,5,0,0,0,0,0,0,0,0,0,0,0,0,0,879,60
24,1.8,38,1,6,3276,3276,5,0,0,0,0,0,0,0,1,0,0,0,0,0,767,60
25,1.85,34,0,1,0,2965,3,0,0,0,0,0,0,0,1,0,0,0,0,0,680.3,60
24,1.86,42,1,2,3296,3296,6,0,0,0,0,0,0,0,1,0,0,0,0,0,979.7,60
25,1.84,43,4,5,919,3676,6,0,0,0,0,0,0,0,0,0,1,0,0,0,547.25,60
26,1.81,40,2,3,1506,3013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,767,60
23,1.93,45,9,1,348,3133,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1020,60
26,1.78,32,8,7,254,2031,6,0,0,0,0,1,0,0,0,0,0,0,0,0,767,60
28,1.91,45,9,8,392,3531,6,0,1,0,0,0,0,0,0,0,0,0,0,0,274.15,60
28,1.88,31,0,1,0,2405,6,0,0,0,0,0,0,0,1,0,0,0,0,0,534.45,60
28,1.82,46,3,11,1044,3133,6,0,0,0,0,0,0,0,0,1,0,0,0,0,979.7,60
28,1.7,37,9,4,275,2472,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,60
31,2,46,46,17,91,4200,6,0,0,0,0,0,0,0,0,0,0,1,0,0,860.8,60
30,1.84,46,14,5,265,3712,4,0,0,0,0,0,0,0,0,0,0,0,0,0,680.3,60
21,1.78,41,1,1,3531,3531,1,0,0,0,0,0,1,0,0,0,0,0,0,0,358.7,55
22,1.92,33,3,1,938,2815,1,0,0,0,0,0,0,0,1,0,0,0,0,0,890,55
23,1.86,36,2,8,1174,2349,3,0,0,0,0,1,0,0,0,0,0,0,0,0,680.3,55
23,1.8,38,6,2,362,2175,6,0,0,0,0,0,0,0,0,0,0,0,0,0,795.7,55
26,1.84,34,3,4,484,1453,3,1,0,1,0,0,0,0,0,0,0,0,0,0,680.3,55
26,1.78,27,5,8,261,1305,5,0,0,0,0,0,0,0,0,0,0,0,0,0,879,55
24,1.9,42,0,6,0,3265,6,0,0,0,0,0,0,0,1,0,0,0,0,0,534.45,55
26,1.75,31,10,9,249,2489,2,0,0,0,1,0,0,0,0,0,0,0,0,0,443.1,55
27,1.76,46,17,11,146,2483,6,0,0,0,0,1,0,0,0,0,0,0,0,0,979.7,55
23,1.7,47,17,5,141,2402,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1050,50
26,1.9,44,2,2,1900,3800,5,0,0,0,0,0,0,0,1,0,0,0,0,0,629,50
25,1.75,45,1,0,3411,3411,6,0,0,0,0,0,0,0,1,0,0,0,0,0,795.7,50
23,1.81,38,8,3,261,2087,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1020,50
25,1.9,47,3,0,1348,4043,1,0,0,0,0,0,0,0,1,0,0,0,0,0,890,50
26,1.76,47,10,12,279,2788,5,0,0,0,0,1,0,0,0,0,0,0,0,0,767,50
23,1.81,46,2,10,1901,3802,3,0,0,0,0,0,1,0,0,0,0,0,0,0,547.25,50
23,1.7,47,14,11,271,3796,3,0,0,1,0,1,0,0,0,0,0,0,0,0,421.85,50
26,1.81,25,4,1,326,1305,2,0,0,0,0,0,0,0,0,0,0,0,0,0,376,50
23,1.92,28,11,2,159,1746,5,1,0,0,0,0,0,0,0,0,0,0,0,0,494.3,50
25,1.75,31,3,6,439,1316,6,0,0,0,0,0,0,0,0,0,0,0,0,0,420.7,50
26,1.89,40,3,9,997,2991,5,0,1,0,0,0,0,0,0,0,0,0,0,0,376,50
25,1.86,45,2,5,1690,3380,1,0,0,0,0,0,0,0,0,1,0,0,0,0,890,50
24,1.96,46,48,14,86,4140,6,0,0,0,0,0,0,0,0,0,0,1,0,0,882.55,50
27,1.84,11,1,1,832,832,6,0,0,0,0,0,0,0,1,0,0,0,0,0,979.7,50
27,1.85,35,21,5,146,3063,5,1,0,0,0,0,0,0,0,0,0,0,0,0,318.6,50
30,1.65,36,0,1,0,2805,6,0,1,0,0,0,0,0,0,0,0,0,0,0,882.55,50
30,1.8,37,2,3,1410,2821,6,0,0,0,0,0,0,0,1,0,0,0,0,0,860.8,50
31,1.85,50,6,7,626,3755,6,0,0,0,0,0,1,0,0,0,0,0,0,0,795.7,50
29,1.78,43,0,11,0,3329,6,0,0,0,0,0,0,0,0,0,1,0,0,0,879,48
