STT,Name,Value
1,Manchester City,€1.05bn
2,Chelsea FC,€1.02bn
3,Bayern Munich,€979.70m
4,Arsenal FC,€890.00m
5,Paris Saint-Germain,€882.55m
6,Liverpool FC,€879.00m
7,Real Madrid,€860.80m
8,Manchester United,€795.70m
9,FC Barcelona,€767.00m
10,Tottenham Hotspur,€680.30m
11,SSC Napoli,€629.00m
12,Borussia Dortmund,€547.70m
13,AC Milan,€547.25m
14,Inter Milan,€534.45m
15,Newcastle United,€494.30m
16,RB Leipzig,€487.30m
17,Atlético de Madrid,€457.00m
18,West Ham United,€451.50m
19,Leicester City,€443.10m
20,Aston Villa,€437.00m
21,Bayer 04 Leverkusen,€421.85m
22,Juventus FC,€420.70m
23,Wolverhampton Wanderers,€398.70m
24,Southampton FC,€397.00m
25,Real Sociedad,€376.00m
26,Brighton & Hove Albion,€358.70m
27,Everton FC,€352.90m
28,Nottingham Forest,€332.65m
29,Atalanta BC,€329.50m
30,AS Monaco,€324.20m
31,Stade Rennais FC,€320.30m
32,Brentford FC,€318.60m
33,Leeds United,€318.00m
34,AS Roma,€317.15m
35,SL Benfica,€313.00m
36,Crystal Palace,€309.95m
37,Eintracht Frankfurt,€294.45m
38,Ajax Amsterdam,€280.15m
39,FC Porto,€279.30m
40,Villarreal CF,€278.20m
41,SS Lazio,€274.15m
42,Olympique Marseille,€259.20m
43,Fulham FC,€253.50m
44,Real Betis Balompié,€252.50m
45,AFC Bournemouth,€243.70m
46,ACF Fiorentina,€236.30m
47,OGC Nice,€235.60m
48,Sporting CP,€234.50m
49,Olympique Lyon,€231.80m
50,Athletic Bilbao,€226.30m
51,Valencia CF,€225.65m
52,Borussia Mönchengladbach,€223.00m
53,Red Bull Salzburg,€222.83m
54,LOSC Lille,€220.90m
55,Sevilla FC,€209.00m
56,PSV Eindhoven,€201.60m
57,VfL Wolfsburg,€200.70m
58,RC Lens,€184.10m
59,Feyenoord Rotterdam,€183.00m
60,Galatasaray,€176.43m
61,Fenerbahce,€172.40m
62,US Sassuolo,€171.40m
63,Torino FC,€169.53m
64,SC Freiburg,€161.90m
65,Zenit St. Petersburg,€160.00m
66,Club Brugge KV,€156.70m
67,TSG 1899 Hoffenheim,€154.65m
68,Sociedade Esportiva Palmeiras,€154.15m
69,CR Flamengo,€154.15m
70,Celta de Vigo,€146.20m
71,Udinese Calcio,€143.05m
72,Getafe CF,€136.70m
73,Bologna FC 1909,€136.10m
74,Burnley FC,€131.55m
75,Watford FC,€129.55m
76,CA Osasuna,€127.70m
77,Girona FC,€126.20m
78,1.FC Union Berlin,€126.10m
79,Rangers FC,€123.85m
80,FC Nantes,€123.80m
81,KRC Genk,€122.35m
82,Trabzonspor,€119.45m
83,FC Augsburg,€117.15m
84,Celtic FC,€116.55m
85,VfB Stuttgart,€115.95m
86,Montpellier HSC,€115.40m
87,RCD Espanyol Barcelona,€113.70m
88,1.FSV Mainz 05,€113.70m
89,Besiktas JK,€112.88m
90,AC Monza,€111.90m
91,SC Braga,€111.30m
92,AZ Alkmaar,€107.90m
93,Sheffield United,€105.20m
94,Norwich City,€104.60m
95,Shakhtar Donetsk,€104.00m
96,FC Empoli,€103.30m
97,Clube Atlético Mineiro,€102.25m
98,1.FC Köln,€101.93m
99,US Salernitana 1919,€99.68m
100,RC Strasbourg Alsace,€98.55m
